Property_ID,City,Locality,Property_Type,BHK,Bathrooms,Super_Builtup_Area_sqft,Carpet_Area_sqft,Floor,Total_Floors,Property_Age,Furnishing,Parking,Distance_to_Metro_km,Nearby_Schools,Nearby_Hospitals,Amenities_Score,House_Price_INR
66,Pune,Wakad,Villa,3,4,4408,3585,28,36,22,Furnished,0,12.4,4,5,4,68985134
67,Delhi,Vasant Kunj,Builder Floor,6,5,2317,1814,28,29,9,Semi-Furnished,0,6.6,1,5,6,40670674
68,Ahmedabad,Bopal,Apartment,4,4,1196,938,27,34,19,Semi-Furnished,1,10.1,10,3,4,8892016
69,Chennai,OMR,Apartment,1,2,4191,3384,5,10,17,Furnished,3,18.9,10,5,7,31691010
70,Chennai,OMR,Independent House,2,3,3995,3382,12,31,7,Semi-Furnished,2,11.6,5,1,7,49868808
71,Mumbai,Andheri,Builder Floor,6,7,3911,3640,24,32,9,Furnished,2,4.5,4,10,5,97112940
72,Bengaluru,Whitefield,Builder Floor,6,5,1765,1602,18,30,1,Unfurnished,1,2.0,5,6,7,34434805
73,Hyderabad,Madhapur,Independent House,3,3,3901,3054,26,34,29,Unfurnished,2,15.0,6,2,8,39075384
74,Bengaluru,Indiranagar,Independent House,6,7,4461,4100,11,14,17,Semi-Furnished,3,0.5,9,2,8,94594414
75,Chennai,OMR,Independent House,3,2,3264,2600,19,37,0,Furnished,2,18.3,4,2,8,46897468
76,Chennai,OMR,Apartment,1,1,1746,1657,3,19,3,Furnished,1,7.9,6,9,7,16755903
77,Bengaluru,Electronic City,Villa,4,5,4346,4086,22,34,1,Furnished,1,9.0,4,6,2,112626314
78,Pune,Baner,Apartment,3,3,4465,3457,26,34,27,Semi-Furnished,0,13.3,10,1,1,28958150
79,Hyderabad,Madhapur,Independent House,2,1,3898,3520,18,25,6,Semi-Furnished,1,6.7,3,10,1,52048654
80,Bengaluru,Indiranagar,Apartment,2,1,3207,2960,0,23,4,Unfurnished,1,11.9,1,3,5,30302205
81,Bengaluru,Electronic City,Apartment,6,5,2450,2057,16,35,11,Furnished,0,9.1,4,10,1,34202753
82,Chennai,OMR,Villa,1,1,2461,2262,21,25,13,Semi-Furnished,3,14.3,8,2,2,31222424
83,Bengaluru,Whitefield,Apartment,5,5,2060,1954,9,24,16,Semi-Furnished,3,2.2,2,9,4,26496613
84,Kolkata,New Town,Apartment,4,5,2203,1973,13,24,10,Unfurnished,2,7.6,3,8,2,15712401
85,Delhi,Dwarka,Apartment,6,6,3825,2968,18,36,1,Furnished,2,13.5,7,6,7,65518726
86,Mumbai,Powai,Villa,3,2,2867,2441,21,37,4,Unfurnished,1,17.0,6,9,6,74521122
87,Chennai,Velachery,Independent House,5,4,2994,2801,22,31,26,Unfurnished,0,3.8,5,6,6,35898970
88,Bengaluru,Indiranagar,Apartment,4,3,1081,970,2,36,0,Semi-Furnished,1,7.6,8,6,3,14697923
89,Chennai,Anna Nagar,Independent House,5,4,4118,3131,24,26,5,Semi-Furnished,0,5.6,7,8,10,68225309
90,Ahmedabad,Satellite,Apartment,5,4,1913,1599,21,40,9,Semi-Furnished,3,10.6,5,1,4,17300769
91,Mumbai,Andheri,Apartment,2,2,3630,2908,3,4,10,Furnished,3,15.0,3,3,7,54932498
92,Hyderabad,Kondapur,Apartment,6,5,2286,1723,2,23,29,Semi-Furnished,3,11.6,7,5,2,19787589
93,Mumbai,Powai,Apartment,5,6,3907,3469,2,30,11,Unfurnished,0,5.0,10,7,9,62078830
94,Ahmedabad,Satellite,Villa,2,2,3691,2892,20,24,16,Unfurnished,1,18.1,6,6,3,38302646
95,Delhi,Rohini,Apartment,2,2,3613,3258,5,37,2,Furnished,3,15.1,10,8,10,48642767
96,Pune,Baner,Apartment,1,2,2311,2025,8,12,25,Unfurnished,2,10.2,5,8,8,12886587
97,Mumbai,Powai,Independent House,1,1,3019,2622,14,33,12,Furnished,0,9.1,10,4,6,61569797
98,Kolkata,New Town,Builder Floor,4,3,3821,3552,22,25,10,Furnished,1,1.0,8,8,9,42724076
99,Bengaluru,HSR Layout,Apartment,3,4,2174,1967,19,21,21,Semi-Furnished,2,1.5,2,9,7,21545034
100,Chennai,Velachery,Apartment,5,5,4254,3488,20,33,30,Semi-Furnished,1,12.0,2,5,9,31709336
101,Pune,Kharadi,Villa,6,5,3146,2781,11,12,16,Unfurnished,2,6.3,4,6,8,53064659
102,Hyderabad,Madhapur,Apartment,3,2,2579,2331,23,40,26,Semi-Furnished,0,13.3,10,3,10,19020078
103,Bengaluru,Indiranagar,Apartment,6,6,3453,2892,11,33,13,Unfurnished,1,19.4,10,5,8,41858481
104,Hyderabad,Kondapur,Builder Floor,4,4,2006,1776,14,29,18,Unfurnished,2,15.6,9,9,7,19741946
105,Hyderabad,Madhapur,Independent House,1,2,4080,3362,3,37,29,Furnished,0,5.8,3,5,8,40807013
106,Bengaluru,Electronic City,Apartment,2,3,4123,3380,13,15,0,Semi-Furnished,3,10.1,4,7,2,48140234
107,Hyderabad,Gachibowli,Apartment,1,1,3741,2915,9,39,1,Furnished,3,14.0,3,8,8,41265945
108,Mumbai,Andheri,Apartment,2,2,2747,2576,16,30,19,Unfurnished,0,15.6,4,5,2,29638041
109,Hyderabad,Kukatpally,Villa,5,6,757,584,15,35,28,Semi-Furnished,0,12.7,10,4,3,10808202
110,Ahmedabad,SG Highway,Villa,2,3,1267,1118,16,28,2,Furnished,0,19.1,9,9,9,19550895
111,Mumbai,Borivali,Independent House,1,2,2029,1624,11,37,0,Unfurnished,0,7.0,2,10,6,37433678
112,Mumbai,Powai,Apartment,6,6,3901,3533,22,38,14,Semi-Furnished,1,16.3,2,8,1,61958652
113,Hyderabad,Gachibowli,Independent House,1,1,4323,3510,26,35,12,Unfurnished,3,5.2,4,5,6,49474607
114,Pune,Baner,Apartment,3,4,4143,3438,28,35,14,Furnished,2,19.5,8,8,6,43114927
115,Chennai,Adyar,Villa,1,2,2967,2815,17,27,5,Semi-Furnished,2,2.2,6,5,5,43369637
116,Ahmedabad,Bopal,Villa,3,4,673,602,11,31,29,Semi-Furnished,3,5.6,1,2,7,7211811
117,Bengaluru,Whitefield,Apartment,5,6,642,497,24,36,7,Unfurnished,2,7.8,10,1,10,8553759
118,Kolkata,Ballygunge,Apartment,1,1,2668,2196,20,29,10,Furnished,1,19.2,1,3,8,17162723
119,Ahmedabad,SG Highway,Apartment,3,4,1378,1308,22,38,9,Furnished,1,2.6,2,8,3,12366893
120,Kolkata,Salt Lake,Independent House,3,3,3406,2598,9,38,17,Unfurnished,2,17.1,3,6,9,33912744
121,Delhi,Rohini,Independent House,2,3,607,499,11,26,18,Semi-Furnished,1,12.3,2,2,5,9050031
122,Kolkata,Alipore,Independent House,5,4,1013,956,2,31,20,Furnished,3,13.7,6,3,9,11963153
123,Bengaluru,Indiranagar,Apartment,1,1,2622,2046,5,26,5,Semi-Furnished,1,7.1,9,5,2,27752974
124,Hyderabad,Kondapur,Apartment,3,2,2558,2246,30,40,18,Furnished,1,3.6,10,10,6,22413002
125,Mumbai,Andheri,Apartment,6,6,3167,2508,13,33,18,Semi-Furnished,0,10.1,9,5,5,51524770
126,Hyderabad,Kukatpally,Apartment,1,1,1147,961,14,21,15,Semi-Furnished,2,12.2,6,6,6,9506189
127,Bengaluru,HSR Layout,Apartment,1,1,1490,1256,14,22,8,Semi-Furnished,1,2.1,5,7,10,14750315
128,Hyderabad,Madhapur,Independent House,5,5,1277,1152,16,31,15,Semi-Furnished,3,17.6,8,1,2,17816499
129,Kolkata,New Town,Apartment,3,2,707,570,28,39,19,Unfurnished,3,5.9,1,2,7,4502957
130,Chennai,Anna Nagar,Independent House,3,2,2140,1626,6,30,17,Semi-Furnished,2,1.7,9,8,9,26517884
131,Delhi,Rohini,Builder Floor,4,4,3755,3557,30,36,17,Unfurnished,1,4.1,9,7,9,47340786
132,Mumbai,Andheri,Apartment,3,4,2627,2210,28,37,19,Semi-Furnished,1,6.7,10,6,3,33439803
133,Chennai,Anna Nagar,Apartment,5,6,3402,2934,26,27,15,Semi-Furnished,2,6.8,2,7,10,32082806
134,Mumbai,Borivali,Apartment,6,6,3454,2625,5,39,15,Furnished,3,3.1,4,1,10,69848810
135,Delhi,Rohini,Apartment,3,4,1120,932,13,30,6,Unfurnished,3,17.5,1,3,9,12797580
136,Pune,Wakad,Apartment,3,3,2382,2221,17,29,10,Furnished,2,12.3,4,4,5,25487183
137,Chennai,Velachery,Builder Floor,3,3,3387,2680,15,26,22,Furnished,3,7.1,5,5,2,31138585
138,Ahmedabad,Navrangpura,Independent House,2,2,672,542,2,25,22,Furnished,3,13.2,8,4,4,6349313
139,Chennai,Anna Nagar,Apartment,5,5,1493,1134,16,24,28,Unfurnished,1,1.2,7,6,8,11829182
140,Bengaluru,Whitefield,Builder Floor,2,3,3174,2974,15,31,28,Furnished,1,15.2,5,6,5,29974632
141,Mumbai,Andheri,Villa,2,1,4240,3961,28,31,13,Furnished,0,19.9,7,8,3,104106961
142,Chennai,Adyar,Apartment,5,4,4302,4072,14,35,9,Semi-Furnished,3,17.8,3,9,8,47342477
143,Hyderabad,Gachibowli,Apartment,6,7,3155,2528,0,22,5,Furnished,2,11.4,4,3,10,40792234
144,Ahmedabad,Navrangpura,Apartment,1,2,3241,2492,15,26,4,Semi-Furnished,1,0.3,7,4,8,24231933
145,Pune,Baner,Apartment,5,4,1571,1383,7,11,22,Furnished,0,9.4,3,7,9,15738439
146,Chennai,Adyar,Villa,3,3,3017,2396,4,35,30,Furnished,1,9.2,10,6,7,40377105
147,Kolkata,New Town,Independent House,6,5,2652,2225,11,14,22,Furnished,0,1.4,9,9,4,30977713
148,Bengaluru,Indiranagar,Apartment,5,6,976,864,18,34,22,Unfurnished,0,18.0,8,1,8,9205109
149,Ahmedabad,Navrangpura,Apartment,5,6,3255,2966,0,26,23,Unfurnished,2,16.4,4,10,2,21763494
150,Ahmedabad,Satellite,Villa,5,4,4328,4020,15,17,29,Semi-Furnished,2,8.3,3,7,6,52047703
151,Kolkata,Alipore,Apartment,6,6,3176,2928,5,40,3,Semi-Furnished,3,10.7,4,1,1,30452029
152,Kolkata,Alipore,Apartment,2,2,2386,1954,6,14,8,Unfurnished,0,16.2,7,10,1,15023353
153,Hyderabad,Gachibowli,Apartment,1,2,2948,2607,1,17,27,Unfurnished,0,8.2,4,9,4,16385115
154,Bengaluru,HSR Layout,Apartment,6,6,2865,2491,26,32,21,Semi-Furnished,1,6.2,3,9,4,33462989
155,Chennai,Anna Nagar,Apartment,5,5,3064,2713,15,17,17,Furnished,2,18.8,7,9,6,30689633
156,Ahmedabad,Navrangpura,Apartment,4,4,3590,3078,27,31,7,Furnished,2,17.2,3,8,1,30533300
157,Ahmedabad,Navrangpura,Apartment,2,3,1494,1196,20,23,10,Unfurnished,3,17.0,2,9,4,10669693
158,Chennai,OMR,Villa,5,4,4078,3117,24,31,25,Unfurnished,3,4.3,6,5,1,56431721
159,Hyderabad,Gachibowli,Villa,4,4,3349,2916,12,20,6,Furnished,2,15.6,7,8,9,67626692
160,Pune,Baner,Apartment,5,6,2408,1853,15,40,23,Unfurnished,2,18.3,6,6,7,20148099
161,Hyderabad,Madhapur,Apartment,5,6,1709,1333,7,32,10,Furnished,1,10.1,6,5,8,19716939
162,Kolkata,Alipore,Apartment,3,3,1073,959,5,40,15,Semi-Furnished,0,10.6,2,1,1,7243503
163,Bengaluru,Indiranagar,Apartment,2,1,1395,1187,1,32,11,Unfurnished,3,0.5,9,9,7,15044478
164,Mumbai,Powai,Apartment,3,2,2557,2333,13,39,21,Unfurnished,1,2.3,2,9,3,29018193
165,Hyderabad,Kondapur,Independent House,3,4,823,678,14,33,12,Furnished,1,19.8,4,5,2,12180215
166,Mumbai,Andheri,Apartment,4,5,729,639,5,11,22,Furnished,3,16.9,6,10,2,10301232
167,Mumbai,Bandra,Apartment,6,7,1610,1222,21,30,2,Furnished,0,3.8,6,1,4,36633736
168,Bengaluru,Electronic City,Builder Floor,3,3,2809,2241,27,34,26,Furnished,2,7.8,3,2,9,36970713
169,Pune,Hinjewadi,Apartment,2,1,1895,1650,30,40,19,Semi-Furnished,3,19.4,6,1,5,13488448
170,Kolkata,New Town,Apartment,4,5,1260,1116,12,15,21,Unfurnished,2,16.0,2,2,5,7567964
171,Ahmedabad,Bopal,Villa,3,3,936,719,9,24,30,Unfurnished,2,15.3,2,3,2,8104523
172,Ahmedabad,Navrangpura,Apartment,5,6,923,697,17,20,11,Semi-Furnished,2,17.3,1,5,7,7615711
173,Delhi,Rohini,Apartment,2,3,1194,928,8,40,9,Semi-Furnished,1,1.5,7,5,7,13629002
174,Kolkata,Salt Lake,Apartment,2,3,2932,2560,3,12,14,Semi-Furnished,2,0.3,7,6,10,20654616
175,Pune,Wakad,Apartment,6,6,1730,1408,22,29,30,Furnished,3,6.4,7,6,5,15844499
176,Kolkata,New Town,Apartment,3,4,1995,1541,6,18,18,Semi-Furnished,0,19.1,8,4,8,13432034
177,Delhi,Vasant Kunj,Villa,2,2,1491,1193,22,36,4,Semi-Furnished,3,1.7,10,8,10,34079149
178,Ahmedabad,SG Highway,Independent House,3,2,947,855,21,33,21,Semi-Furnished,1,13.0,1,10,7,9922092
179,Ahmedabad,SG Highway,Apartment,3,3,2591,2330,18,37,17,Furnished,1,9.0,7,8,10,20285130
180,Bengaluru,HSR Layout,Builder Floor,4,3,1710,1424,2,10,30,Furnished,1,7.1,6,8,4,22199511
181,Kolkata,Ballygunge,Apartment,4,5,1806,1378,25,37,1,Furnished,0,0.6,6,2,3,18105871
182,Hyderabad,Madhapur,Apartment,3,4,4425,3727,12,33,25,Furnished,1,3.9,7,7,1,33919672
183,Hyderabad,Kukatpally,Apartment,4,3,3386,2684,24,27,8,Semi-Furnished,0,16.0,9,3,6,32555739
184,Hyderabad,Kukatpally,Apartment,6,7,2661,2509,19,32,10,Furnished,3,11.8,6,6,8,35347185
185,Bengaluru,HSR Layout,Builder Floor,5,4,3252,2526,7,27,3,Semi-Furnished,0,3.8,3,9,7,55623715
186,Bengaluru,Electronic City,Apartment,4,4,2772,2171,4,16,9,Unfurnished,2,16.9,10,1,6,32697100
187,Kolkata,New Town,Apartment,4,5,2175,1929,22,37,13,Semi-Furnished,3,3.5,10,1,4,17076257
188,Mumbai,Powai,Apartment,3,3,3697,3110,24,40,23,Furnished,0,11.5,5,9,6,48637306
189,Mumbai,Borivali,Apartment,4,3,3514,3218,7,27,24,Unfurnished,0,9.1,6,2,8,41607226
190,Hyderabad,Madhapur,Independent House,5,5,4026,3591,13,19,20,Semi-Furnished,1,15.7,4,1,10,53194982
191,Chennai,Velachery,Apartment,6,6,1685,1456,27,36,30,Furnished,0,2.9,7,1,5,14340939
192,Bengaluru,Indiranagar,Apartment,6,6,3893,3112,21,34,26,Semi-Furnished,3,3.0,5,7,7,45236024
193,Delhi,Dwarka,Apartment,6,6,3345,3135,14,30,11,Unfurnished,2,11.7,2,8,6,45617182
194,Ahmedabad,Bopal,Builder Floor,2,3,1599,1302,10,28,9,Unfurnished,1,11.4,8,6,1,11658895
195,Delhi,Vasant Kunj,Apartment,2,3,2369,1777,13,20,30,Unfurnished,1,17.7,5,3,5,17420225
196,Pune,Baner,Apartment,6,6,712,590,23,31,9,Semi-Furnished,3,13.2,2,1,4,8056395
197,Delhi,Rohini,Apartment,5,6,538,404,26,28,10,Semi-Furnished,3,13.9,8,2,4,6811441
198,Delhi,Dwarka,Apartment,3,3,1061,876,24,29,26,Furnished,1,1.6,10,1,10,11537081
199,Bengaluru,Electronic City,Apartment,2,2,4267,3551,14,21,21,Furnished,0,18.0,3,2,10,41770315
200,Ahmedabad,Satellite,Builder Floor,3,3,1514,1219,7,26,2,Furnished,0,17.0,5,4,9,16025219
201,Hyderabad,Kukatpally,Apartment,1,1,2527,2090,15,36,7,Unfurnished,0,10.7,1,6,6,20282445
202,Ahmedabad,Navrangpura,Apartment,6,6,3624,3059,2,4,24,Semi-Furnished,0,0.5,4,1,1,27543292
203,Chennai,OMR,Apartment,4,3,3123,2677,4,22,19,Furnished,0,6.3,9,4,3,29494188
204,Pune,Wakad,Apartment,6,5,1770,1574,30,34,23,Furnished,0,5.0,7,2,8,19378579
205,Mumbai,Powai,Villa,6,6,989,744,22,23,4,Furnished,1,10.0,6,9,9,36520099
206,Chennai,Velachery,Apartment,6,6,3502,3247,28,29,24,Semi-Furnished,2,16.2,5,9,2,27671947
207,Delhi,Vasant Kunj,Apartment,3,2,2546,2347,11,17,5,Furnished,2,15.5,10,2,4,35051098
208,Mumbai,Andheri,Independent House,1,1,688,580,29,32,12,Unfurnished,1,18.6,1,9,7,12061069
209,Pune,Kharadi,Apartment,6,6,1611,1474,11,15,18,Unfurnished,0,3.8,9,1,7,15982290
210,Kolkata,Ballygunge,Independent House,3,3,853,734,11,18,0,Semi-Furnished,2,11.4,5,10,4,12539359
211,Pune,Wakad,Builder Floor,2,2,1116,838,0,15,13,Furnished,2,12.8,1,6,1,11666050
212,Ahmedabad,Satellite,Apartment,5,5,2219,1882,4,22,1,Furnished,0,1.1,4,9,7,26287866
213,Pune,Wakad,Builder Floor,1,1,2570,1996,12,15,26,Semi-Furnished,0,8.8,3,4,5,19443768
214,Pune,Wakad,Villa,6,6,1802,1514,2,15,7,Unfurnished,1,15.6,10,2,3,35302860
215,Bengaluru,Electronic City,Apartment,4,3,2695,2214,6,35,24,Furnished,2,9.4,2,2,3,27773414
216,Chennai,Adyar,Apartment,3,3,873,778,11,24,30,Semi-Furnished,0,13.6,5,3,1,5460933
217,Kolkata,New Town,Apartment,1,1,997,750,24,32,26,Furnished,1,4.1,7,6,2,5067598
218,Chennai,Adyar,Apartment,1,1,4196,3689,4,10,25,Furnished,2,2.6,8,1,3,27286085
219,Ahmedabad,Navrangpura,Apartment,4,5,1207,990,5,23,29,Furnished,2,9.0,3,1,10,8261473
220,Hyderabad,Kondapur,Apartment,5,6,749,574,4,31,12,Unfurnished,1,12.9,9,4,9,7666513
221,Ahmedabad,Satellite,Apartment,4,4,4238,3657,12,21,10,Semi-Furnished,1,0.7,10,4,1,38135630
222,Mumbai,Borivali,Apartment,5,5,4489,3510,21,29,7,Semi-Furnished,2,10.8,1,4,10,74542037
223,Pune,Kharadi,Apartment,5,5,3802,3412,29,39,11,Unfurnished,0,14.1,6,10,10,39394377
224,Hyderabad,Kukatpally,Apartment,2,3,655,503,19,27,7,Unfurnished,0,10.6,1,6,10,5357682
225,Bengaluru,HSR Layout,Villa,3,2,589,459,29,32,22,Furnished,0,17.0,6,2,6,10379783
226,Ahmedabad,SG Highway,Apartment,3,3,4497,3514,13,39,30,Semi-Furnished,3,13.1,3,9,10,27421595
227,Hyderabad,Madhapur,Apartment,6,6,1021,802,30,40,0,Furnished,3,17.0,10,1,3,14165329
228,Pune,Kharadi,Villa,1,2,1076,878,7,30,2,Unfurnished,2,3.5,2,6,8,15690356
229,Chennai,Velachery,Apartment,1,1,1551,1407,0,4,23,Semi-Furnished,3,8.9,7,3,7,9476764
230,Ahmedabad,Satellite,Apartment,1,2,3730,3442,24,32,20,Semi-Furnished,1,9.1,1,5,1,20767456
231,Chennai,Adyar,Apartment,2,3,1159,1038,30,32,17,Semi-Furnished,2,12.0,10,8,1,7866875
232,Bengaluru,Electronic City,Apartment,1,1,1341,1267,22,40,13,Unfurnished,2,13.3,5,4,2,11274586
233,Ahmedabad,Navrangpura,Apartment,3,2,2251,1727,21,37,26,Unfurnished,1,2.1,4,3,5,13025818
234,Kolkata,Salt Lake,Apartment,4,5,2503,2325,2,37,8,Semi-Furnished,3,3.9,7,6,3,19676853
235,Mumbai,Powai,Apartment,3,3,3928,3156,4,11,1,Unfurnished,0,13.4,9,7,10,69817687
236,Mumbai,Borivali,Independent House,4,5,2845,2635,9,12,15,Furnished,3,18.1,1,9,10,72961400
237,Bengaluru,Whitefield,Builder Floor,4,4,4387,4153,25,29,6,Furnished,1,1.0,2,7,4,66555262
238,Bengaluru,HSR Layout,Apartment,6,5,856,708,17,28,12,Furnished,2,10.5,1,10,10,13172334
